seko,preflLabel,prefLabel@sv,prefLabel@en,altLabel,alt_lang,countryOfOrign,broader,broader_prefLabel,broader2,yso-mapping,wikidata-mapping,skos:editorialNote,SEKO-LCMPT-mapping,SEKO-LC-link
http://urn.fi/urn:nbn:fi:au:seko:00005,,,,viisikielinen kantele,fi,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00006,5-rivinen harmonikka,femradigt dragspel,five-row button accordion,,,,http://urn.fi/urn:nbn:fi:au:seko:00710,näppäinharmonikka,,,http://www.wikidata.org/entity/Q116189123,,skos:broadMatch,http://id.loc.gov/authorities/performanceMediums/mp2013015001
http://urn.fi/urn:nbn:fi:au:seko:00006,,,,viisirivinen harmonikka,fi,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00007,6-rivinen harmonikka,sexradigt dragspel,six-row button accordion,,,,http://urn.fi/urn:nbn:fi:au:seko:00710,näppäinharmonikka,,,http://www.wikidata.org/entity/Q116189217,,skos:broadMatch,http://id.loc.gov/authorities/performanceMediums/mp2013015108
http://urn.fi/urn:nbn:fi:au:seko:00007,,,,kuusirivinen harmonikka,fi,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00008,7-kielinen kitara,7-strängad gitarr,seven-string guitar,,,,http://urn.fi/urn:nbn:fi:au:seko:00504,kitara,,,https://www.wikidata.org/entity/Q2096201,,,
http://urn.fi/urn:nbn:fi:au:seko:00008,,,,Russian guitar,en,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00008,,,,seitsemänkielinen kitara,fi,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00008,,,,seitsenkielinen kitara,fi,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00008,,,,semistrunka,ru,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00008,,,,semistrunnaja gitara,ru,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00008,,,,violão de sete cordas,pt,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00009,9-kielinen kantele,9-strängad kantele,nine-string kantele,,,,http://urn.fi/urn:nbn:fi:au:seko:00470,kantele,,,http://www.wikidata.org/entity/Q116189309,,skos:broadMatch,http://id.loc.gov/authorities/performanceMediums/mp2013015373
http://urn.fi/urn:nbn:fi:au:seko:00009,,,,yhdeksänkielinen kantele,fi,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00010,10-kielinen kantele,10-strängad kantele,ten string kantele,,,,http://urn.fi/urn:nbn:fi:au:seko:00470,kantele,,,http://www.wikidata.org/entity/Q116189294,,skos:broadMatch,http://id.loc.gov/authorities/performanceMediums/mp2013015373
http://urn.fi/urn:nbn:fi:au:seko:00010,,,,kymmenenkielinen kantele,fi,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00010,,,,kymmenkielinen kantele,fi,,http://urn.fi/urn:nbn:fi:au:seko:00470,kantele,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00011,10-kielinen kitara,10-strängad gitarr,ten-string guitar,,,,http://urn.fi/urn:nbn:fi:au:seko:00504,kitara,,,https://www.wikidata.org/entity/Q2569413,,,
http://urn.fi/urn:nbn:fi:au:seko:00011,,,,décacorde (kitara),fi,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00011,,,,kymmenenkielinen kitara,fi,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00011,,,,kymmenkielinen kitara,fi,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00012,12-kielinen kitara,12-strängad gitarr,twelve-string guitar,,,,http://urn.fi/urn:nbn:fi:au:seko:00504,kitara,,,http://www.wikidata.org/entity/Q678090,,,
http://urn.fi/urn:nbn:fi:au:seko:00012,,,,kaksitoistakielinen kitara,fi,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00013,13-kielinen kantele,13-strängad kantele,13-string kantele,,,,http://urn.fi/urn:nbn:fi:au:seko:00470,kantele,,,http://www.wikidata.org/entity/Q116189338,,skos:broadMatch,http://id.loc.gov/authorities/performanceMediums/mp2013015373
http://urn.fi/urn:nbn:fi:au:seko:00013,,,,kolmetoistakielinen kantele,fi,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00014,aburukuwa,aburukuwa,aburukuwa,,,Ghana,http://urn.fi/urn:nbn:fi:au:seko:01040,talking drum,,,http://www.wikidata.org/entity/Q3395204,,,
http://urn.fi/urn:nbn:fi:au:seko:00014,,,,abrukwa,fi,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00015,acordeon,acordeon,acordeon,,,Romania,http://urn.fi/urn:nbn:fi:au:seko:00015,pianoharmonikka,,,https://www.wikidata.org/entity/Q109120755,,skos:closeMatch,http://id.loc.gov/authorities/performanceMediums/mp2013015001
http://urn.fi/urn:nbn:fi:au:seko:00016,adufe,adufe,adufe,,,Espanja|Portugal|Latinalainen Amerikka,http://urn.fi/urn:nbn:fi:au:seko:01050,tamburiini,,,https://www.wikidata.org/entity/Q13408004,,,
http://urn.fi/urn:nbn:fi:au:seko:00017,afuchê,cabasa,cabasa,,,,http://urn.fi/urn:nbn:fi:au:seko:00627,lyömäsoitin,,,http://www.wikidata.org/entity/Q1024685,,,
http://urn.fi/urn:nbn:fi:au:seko:00017,,,,afochê,fi,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00017,,,,cabasa,fi,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00018,agbomboya,agbomboya,agbomboya,,,Zaire,http://urn.fi/urn:nbn:fi:au:seko:00709,näppäilysoitin,,,https://www.wikidata.org/entity/Q101967894,https://www.oxfordreference.com/view/10.1093/acref/9780199743391.001.0001/acref-9780199743391-e-65,,
http://urn.fi/urn:nbn:fi:au:seko:00018,,,,abongboya,fi,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00019,agbosí,agbosí,agbosí,,,Cuba,http://urn.fi/urn:nbn:fi:au:seko:00864,rumpu,,,https://www.wikidata.org/entity/Q101968884,https://www.oxfordmusiconline.com/grovemusic/view/10.1093/gmo/9781561592630.001.0001/omo-9781561592630-e-4002255486,,
http://urn.fi/urn:nbn:fi:au:seko:00019,,,,agbosi,fi,Nigeria|Benin,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00020,agidigbo,agidigbo,agidigbo,,,,http://urn.fi/urn:nbn:fi:au:seko:00709,näppäilysoitin,,,https://www.wikidata.org/entity/Q4692521,,,
http://urn.fi/urn:nbn:fi:au:seko:00021,agogô,agogô,agogo,,,,http://urn.fi/urn:nbn:fi:au:seko:00485,kello,,,https://www.wikidata.org/entity/Q395212,https://musicbrainz.org/instrument/f341241c-6a19-4ed9-acb0-0b89fe0bfdef,skos:exactMatch,http://id.loc.gov/authorities/performanceMediums/mp2014015007
http://urn.fi/urn:nbn:fi:au:seko:00021,,,,agogô,en,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00021,,,,can can,en,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00022,agogô triplo,agogô triplo,agogô triplo,,,,http://urn.fi/urn:nbn:fi:au:seko:00485,kello,,,http://www.wikidata.org/entity/Q116163586,,,
http://urn.fi/urn:nbn:fi:au:seko:00022,,,,agogo triplo,fi,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00022,,,,triple agogo,en,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00023,agung,agung,agung,,,Indonesia|Malaijin niemimaa,http://urn.fi/urn:nbn:fi:au:seko:00376,gongi,,,https://www.wikidata.org/entity/Q398619,,,
http://urn.fi/urn:nbn:fi:au:seko:00024,aidatrumpetti,aidatrumpet,tromba egiziana,,,,http://urn.fi/urn:nbn:fi:au:seko:01117,trumpetti,,,https://www.wikidata.org/entity/Q10403797,,,
http://urn.fi/urn:nbn:fi:au:seko:00024,,,,egyptiläinen trumpetti,fi,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00025,aizai,aizai,aizai,,,Kiina,http://urn.fi/urn:nbn:fi:au:seko:00715,oboesoitin,,,https://www.wikidata.org/entity/Q411553,,,
http://urn.fi/urn:nbn:fi:au:seko:00025,,,,ǎizǎi,cn,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00025,,,,nán'ǎi,cn,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00026,ajaeng,ajaeng,ajaeng,,,Korea,http://urn.fi/urn:nbn:fi:au:seko:00446,jousisoitin,,,https://www.wikidata.org/entity/Q411880,https://musicbrainz.org/instrument/51d4054b-b13a-47bd-9ff4-cfc42009c42c;http://www.mimo-international.com/MIMO/doc/IFD/SPK_BERLIN.DE_EM_OBJID_1634029?_ga=2.26920702.2107449363.1605644925-1437682539.1605644925,skos:exactMatch,http://id.loc.gov/authorities/performanceMediums/mp2013015007
http://urn.fi/urn:nbn:fi:au:seko:00027,akustinen kitara,akustisk gitarr,acoustic guitar,,,,http://urn.fi/urn:nbn:fi:au:seko:00504,kitara,,http://www.yso.fi/onto/yso/p22040,http://www.wikidata.org/entity/Q31561,,skos:exactMatch,http://id.loc.gov/authorities/performanceMediums/mp2013015306
http://urn.fi/urn:nbn:fi:au:seko:00027,,,,ac-g (akustinen kitara),fi,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00027,,,,flamencokitara,fi,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00028,alasin,städ,anvil,,,,http://urn.fi/urn:nbn:fi:au:seko:00627,lyömäsoitin,,,https://www.wikidata.org/entity/Q104363,https://musicbrainz.org/instrument/526ca2ae-ceba-4194-a786-139b3bef9519,,
http://urn.fi/urn:nbn:fi:au:seko:00029,alboka,alboka,alboka,,,Baskimaa,http://urn.fi/urn:nbn:fi:au:seko:00715,oboesoitin,,,https://www.wikidata.org/entity/Q313053,https://musik-instrument.se/alboka/,,lcmpt:mp2013015008
http://urn.fi/urn:nbn:fi:au:seko:00029,,,,albogue,fi,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00030,algaita,algaita,algaita,,,Länsi-Afrikka,http://urn.fi/urn:nbn:fi:au:seko:00715,oboesoitin,,,https://www.wikidata.org/entity/Q2646434,,,
http://urn.fi/urn:nbn:fi:au:seko:00031,algoja,algoja,alghoza,,,Pohjois-Intia|Pakistan,http://urn.fi/urn:nbn:fi:au:seko:01134,tulppakanavahuilu,,,https://www.wikidata.org/entity/Q568883,,skos:exactMatch,http://id.loc.gov/authorities/performanceMediums/mp2013015009
http://urn.fi/urn:nbn:fi:au:seko:00032,alppitorvi,alphorn,alphorn,,,Alpit,http://urn.fi/urn:nbn:fi:au:seko:00819,puutrumpetti,,http://www.yso.fi/onto/yso/p29787,http://www.wikidata.org/entity/Q685206,,skos:exactMatch,http://id.loc.gov/authorities/performanceMediums/mp2013015010
http://urn.fi/urn:nbn:fi:au:seko:00032,,,,alpine horn,en,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00032,,,,alpenhorn,en,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00033,altto,kontraalt,contralto,,,,http://urn.fi/urn:nbn:fi:au:seko:00654,matala lauluääni,,http://www.yso.fi/onto/yso/p29967,http://www.wikidata.org/entity/Q37137,,skos:exactMatch,http://id.loc.gov/authorities/performanceMediums/mp2013015017
http://urn.fi/urn:nbn:fi:au:seko:00033,,,,A (altto),fi,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00033,,,,kontra-altto,fi,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00034,alttochalumeau,altchalumeau,alto chalumeau,,,,http://urn.fi/urn:nbn:fi:au:seko:00198,chalumeau,,,http://www.wikidata.org/entity/Q116189361,,skos:broadMatch,http://id.loc.gov/authorities/performanceMediums/mp2013015125
http://urn.fi/urn:nbn:fi:au:seko:00034,,,,alt chalumeau,sv,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00034,,,,alt-chalimou,sv,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00034,,,,Altchalumeau,de,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00034,,,,Quart-Chalumeau,de,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00034,,,,secont chalimou,fr,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00035,alttogamba,altgamba,alto viol,,,,http://urn.fi/urn:nbn:fi:au:seko:01185,viola da gamba,,,http://www.wikidata.org/entity/Q52769618,,,
http://urn.fi/urn:nbn:fi:au:seko:00035,,,,alto viola da gamba,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00036,alttohuilu,altflöjt,alto flute,,,,http://urn.fi/urn:nbn:fi:au:seko:00417,huilu,,,http://www.wikidata.org/entity/Q544352,,skos:exactMatch,http://id.loc.gov/authorities/performanceMediums/mp2013015012
http://urn.fi/urn:nbn:fi:au:seko:00036,,,,altfløjte,da,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00036,,,,altfløyte,no,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00036,,,,altfluit,nl,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00036,,,,alto flüt,tr,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00036,,,,flauta alto,sp,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00036,,,,flauta contralto,pt,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00036,,,,flauto contralto,it,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00036,,,,flûte alto,fr,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00036,,,,flûte en sol,fr,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00036,,,,G-fløjte,da,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00036,,,,Quartflöte,de,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00037,alttoklarinetti,altklarinett,alto clarinet,,,,http://urn.fi/urn:nbn:fi:au:seko:00512,klarinetti,,,http://www.wikidata.org/entity/Q656766,,skos:exactMatch,http://id.loc.gov/authorities/performanceMediums/mp2013015011
http://urn.fi/urn:nbn:fi:au:seko:00038,alttonokkahuilu,altblockflöjt,treble recorder,,,,http://urn.fi/urn:nbn:fi:au:seko:00704,nokkahuilu,,,https://www.wikidata.org/entity/Q15791824,,skos:closeMatch,http://id.loc.gov/authorities/performanceMediums/mp2013015014
http://urn.fi/urn:nbn:fi:au:seko:00038,,,,Altblockflöte,de,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00039,alttopasuuna,alttrombon,alto trombone,,,,http://urn.fi/urn:nbn:fi:au:seko:00752,pasuuna,,,https://www.wikidata.org/entity/Q94698251,,skos:closeMatch,"http://id.loc.gov/authorities/performanceMediums/mp2013015016, http://id.loc.gov/authorities/performanceMediums/mp2013015607"
http://urn.fi/urn:nbn:fi:au:seko:00039,,,,alto sackbut,en,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00039,,,,Altposaune,de,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00040,alttosaksofoni,altsaxofon,alto sax,,,,http://urn.fi/urn:nbn:fi:au:seko:00879,saksofoni,"http://urn.fi/urn:nbn:fi:au:seko:86527
",,https://www.wikidata.org/entity/Q445275,,skos:exactMatch,http://id.loc.gov/authorities/performanceMediums/mp2013015015
http://urn.fi/urn:nbn:fi:au:seko:00040,,,,altto (alttosaksofoni),fi,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00040,,,,alttofoni,fi,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00040,,,,as (alttosaksofoni),fi,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00041,alttosinkki,altsinka,treble cornett,,,,http://urn.fi/urn:nbn:fi:au:seko:00571,käyrä sinkki,,,http://www.wikidata.org/entity/Q116213820,ilmeisesti  eri kuin cornettino http://www.wikidata.org/entity/Q5171699,skos:closeMatch,http://id.loc.gov/authorities/performanceMediums/mp2013015185
http://urn.fi/urn:nbn:fi:au:seko:00041,,,,Chorzink,de,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00041,,,,cornet à bouquin alto,fr,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00041,,,,kuorosinkki,fi,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00041,,,,recht Chorzinck,de,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00042,alttotorvi,althorn,alto horn,,,,http://urn.fi/urn:nbn:fi:au:seko:00904,saxhorn,,,http://www.wikidata.org/entity/Q157420,,skos:closeMatch,http://id.loc.gov/authorities/performanceMediums/mp2013015013
http://urn.fi/urn:nbn:fi:au:seko:00042,,,,a-h (alttotorvi),fi,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00042,,,,Althorn,de,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00042,,,,tenor horn,en,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00042,,,,E♭ horn,en,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00043,alttoviulu,viola,viola,,,,http://urn.fi/urn:nbn:fi:au:seko:00446,jousisoitin,,http://www.yso.fi/onto/yso/p14228,http://www.wikidata.org/entity/Q80284,,,
http://urn.fi/urn:nbn:fi:au:seko:00043,,,,altviolin,sv,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00043,,,,Br. (alttoviulu),fi,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00043,,,,Bratsche,de,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00043,,,,va (alttoviulu),fi,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00043,,,,vla (alttoviulu),fi,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00044,amadinda,amadinda,amadinda,,,Keskinen Afrikka,http://urn.fi/urn:nbn:fi:au:seko:00552,ksylofoni,,,http://www.wikidata.org/entity/Q452030,,skos:exactMatch,http://id.loc.gov/authorities/performanceMediums/mp2013015018
http://urn.fi/urn:nbn:fi:au:seko:00044,,,,madinda,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00045,aman huur,aman huur,aman huur,,,Mongolia,http://urn.fi/urn:nbn:fi:au:seko:00685,munniharppu,,,https://www.wikidata.org/entity/Q68647735,,,
http://urn.fi/urn:nbn:fi:au:seko:00046,ānandalaharī,ānandalaharī,gubguba,,,Itä-Intiä|Bangladesh,http://urn.fi/urn:nbn:fi:au:seko:00500,kielisoitin,,,http://www.wikidata.org/entity/Q98079039,,,
http://urn.fi/urn:nbn:fi:au:seko:00046,,,,ananda lahari,fi,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00046,,,,gubgubī,en,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00046,,,,khamak,de,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00047,angélique,angelica,angélique,,,Eurooppa,http://urn.fi/urn:nbn:fi:au:seko:00622,luuttu,,,https://www.wikidata.org/entity/Q356330,,,
http://urn.fi/urn:nbn:fi:au:seko:00047,,,,angelique,fr,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00047,,,,angelica,de,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00047,,,,angelica,no,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00048,angklung,angklung,angklung,,,INdonesia,http://urn.fi/urn:nbn:fi:au:seko:00404,helistin,,,https://www.wikidata.org/entity/Q540049,,skos:closeMatch,http://id.loc.gov/authorities/performanceMediums/mp2013015020
http://urn.fi/urn:nbn:fi:au:seko:00049,antara,antara,antara,,,Peru|Andit,http://urn.fi/urn:nbn:fi:au:seko:00749,panhuilu,,,https://www.wikidata.org/entity/Q2852614,,skos:closeMatch,http://id.loc.gov/authorities/performanceMediums/mp2013015528
http://urn.fi/urn:nbn:fi:au:seko:00050,apang,apang,bhapang,,,Pohjois-Intia,http://urn.fi/urn:nbn:fi:au:seko:00500,kielisoitin,,,https://www.wikidata.org/entity/Q52192089,,,
http://urn.fi/urn:nbn:fi:au:seko:00051,apito,apito,apito de samba,,,,http://urn.fi/urn:nbn:fi:au:seko:00776,pilli,,,https://www.wikidata.org/entity/Q1483670,https://musicbrainz.org/instrument/6c09e10d-7ed8-47a6-a9f2-8551b19b2d92,,
http://urn.fi/urn:nbn:fi:au:seko:00051,,,,samba whistle,en,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00051,,,,sambapilli,fi,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00052,Appalachian dulcimer,Appalachian dulcimer,Appalachian dulcimer,,,Appalakit,http://urn.fi/urn:nbn:fi:au:seko:00943,sitra,,,https://www.wikidata.org/entity/Q2145031,,skos:exactMatch,http://id.loc.gov/authorities/performanceMediums/mp2013015022
http://urn.fi/urn:nbn:fi:au:seko:00052,,,,American dulcimer,en,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00052,,,,delcumer,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00052,,,,dulcymore,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00052,,,,harmonium (sitra),fi,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00052,,,,harmony box,en,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00052,,,,hog fiddle,en,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00052,,,,Kentucky dulcimer,en,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00052,,,,lap dulcimer,en,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00052,,,,mountain dulcimer,en,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00052,,,,music box (sitra),en,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00052,,,,plucked dulcimer,en,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00053,ardin,ardin,ardin,,,Mauritania,http://urn.fi/urn:nbn:fi:au:seko:00398,harppu,,,https://www.wikidata.org/entity/Q6532301,,,
http://urn.fi/urn:nbn:fi:au:seko:00054,arghūl,arghūl,arghul,,,Välimeren alue,http://urn.fi/urn:nbn:fi:au:seko:00513,klarinettisoitin,,,http://www.wikidata.org/entity/Q646920,https://musik-instrument.se/arghul/,,lcmpt:mp2013015025
http://urn.fi/urn:nbn:fi:au:seko:00054,,,,arghoul,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00054,,,,arghul,fi,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00054,,,,argul,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00054,,,,arġūl,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00054,,,,yavghul,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00055,arkkiluuttu,archiluta,archlute,,,,http://urn.fi/urn:nbn:fi:au:seko:00622,luuttu,,,http://www.wikidata.org/entity/Q1633881,,skos:exactMatch,http://id.loc.gov/authorities/performanceMediums/mp2013015025
http://urn.fi/urn:nbn:fi:au:seko:00055,,,,archiluth,sv,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00055,,,,arcileuto,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00055,,,,arciliuto,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00055,,,,chitarrone,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00055,,,,Erzlaute,de,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00056,arpanetta,arpanetta,spitzharfe,,,Eurooppa,http://urn.fi/urn:nbn:fi:au:seko:00799,psaltteri,,,https://www.wikidata.org/entity/Q7578333,,,lcmpt:mp2013015028
http://urn.fi/urn:nbn:fi:au:seko:00056,,,,arpa-citara,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00056,,,,arpaneta,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00056,,,,arpanette,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00056,,,,Harfenett,de,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00056,,,,harpe pointue,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00056,,,,italienische Harfe,de,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00056,,,,Spitzharfe,de,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00057,arpeggione,arpeggione,arpeggione,,,,http://urn.fi/urn:nbn:fi:au:seko:01185,viola da gamba,,,http://www.wikidata.org/entity/Q638182,,skos:exactMatch,http://id.loc.gov/authorities/performanceMediums/mp2013015028
http://urn.fi/urn:nbn:fi:au:seko:00057,,,,bowed guitar,en,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00057,,,,guitar violoncello,en,,,,,,,,,
